epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,4035.9,1.11569,1.29398,1.37967,0.62172,0.47157,0.57255,0.35169,1.53753,1.65238,1.70166,0.000128,0.000128,0.000128
138,4065.09,1.09841,1.29802,1.37759,0.65328,0.46445,0.5642,0.34461,1.54387,1.69082,1.69263,0.00011975,0.00011975,0.00011975
139,4094.28,1.09543,1.28578,1.37801,0.64127,0.44312,0.56832,0.34614,1.55052,1.70481,1.69363,0.0001115,0.0001115,0.0001115
140,4123.41,1.11526,1.30129,1.37451,0.67215,0.43478,0.56003,0.34364,1.55797,1.70462,1.70541,0.00010325,0.00010325,0.00010325
141,4152.82,1.02343,1.18294,1.3509,0.57833,0.4926,0.55554,0.33319,1.57325,1.6724,1.73116,9.5e-05,9.5e-05,9.5e-05
142,4181.98,1.00458,1.1341,1.34134,0.53112,0.54074,0.55104,0.33207,1.57538,1.77075,1.734,8.675e-05,8.675e-05,8.675e-05
143,4211.1,0.97689,1.1151,1.3346,0.5409,0.61032,0.57123,0.34213,1.53173,1.71011,1.6775,7.85e-05,7.85e-05,7.85e-05
144,4240.26,0.97511,1.08354,1.32424,0.63448,0.48854,0.58551,0.3559,1.50308,1.66055,1.66715,7.025e-05,7.025e-05,7.025e-05
145,4269.33,0.97129,1.07161,1.30833,0.63684,0.50165,0.57087,0.35981,1.5154,1.64313,1.68292,6.2e-05,6.2e-05,6.2e-05
146,4298.7,1.01053,1.10566,1.34849,0.666,0.46512,0.58324,0.35865,1.52605,1.68564,1.68904,5.375e-05,5.375e-05,5.375e-05
147,4327.73,0.95809,1.04655,1.30819,0.65207,0.45844,0.57488,0.35786,1.5249,1.64862,1.68999,4.55e-05,4.55e-05,4.55e-05
148,4356.83,0.93105,0.99603,1.28617,0.68799,0.45946,0.57742,0.35561,1.52942,1.63975,1.69261,3.725e-05,3.725e-05,3.725e-05
149,4385.86,0.94072,1.05205,1.30255,0.72248,0.43079,0.5813,0.35575,1.53188,1.62918,1.69949,2.9e-05,2.9e-05,2.9e-05
150,4415.48,0.93616,0.99585,1.2885,0.6653,0.45904,0.58036,0.35256,1.53569,1.64542,1.70133,2.075e-05,2.075e-05,2.075e-05
